location,area_sqft,rooms,price_pkr
G-11 Islamabad,6053,9,242648000
Model Town Lahore,5795,8,169791000
Clifton Karachi,4250,8,264782000
PECHS Karachi,5919,8,197642000
DHA Lahore,8064,8,341588000
I-8 Islamabad,7429,6,217348000
I-8 Islamabad,8556,6,277785000
DHA Lahore,9086,10,354630000
F-10 Islamabad,9825,8,592003000
F-11 Islamabad,4178,4,233274000
Defence Karachi,5026,10,207770000
Defence Karachi,9625,7,465099000
Bahria Town Lahore,2179,3,80626000
G-11 Islamabad,6430,7,224217000
Clifton Karachi,7950,6,379275000
Model Town Lahore,9065,8,298136000
DHA Lahore,9400,8,373661000
DHA Karachi,2003,4,86473000
PECHS Karachi,4113,7,123583000
I-8 Islamabad,6135,10,184662000
F-11 Islamabad,2386,6,112886000
Johar Town Lahore,7855,7,245195000
DHA Karachi,5486,9,208306000
E-11 Islamabad,6984,8,255349000
Clifton Karachi,5335,8,278044000
F-11 Islamabad,3315,8,203501000
G-11 Islamabad,3622,8,154712000
F-10 Islamabad,7938,6,438638000
DHA Karachi,1253,3,61578000
Gulberg Lahore,6014,6,188257000
E-11 Islamabad,3741,7,134998000
G-11 Islamabad,4445,7,204263000
North Nazimabad Karachi,2568,6,49051000
PECHS Karachi,4877,4,149351000
Johar Town Lahore,3533,5,94368000
Clifton Karachi,4566,4,269386000
DHA Karachi,1328,3,56202000
PECHS Karachi,9321,7,290325000
F-10 Islamabad,974,2,55221000
Bahria Town Lahore,8488,7,291353000
F-11 Islamabad,4410,6,253714000
PECHS Karachi,5925,6,163287000
PECHS Karachi,5698,9,217699000
Clifton Karachi,5629,10,302668000
Clifton Karachi,9227,7,407843000
G-11 Islamabad,8724,8,333754000
PECHS Karachi,3676,6,124903000
I-8 Islamabad,2290,4,64973000
F-10 Islamabad,8327,6,401154000
DHA Lahore,2374,4,86525000
Model Town Lahore,1891,3,59455000
Bahria Town Lahore,9048,8,364400000
Model Town Lahore,1151,4,34732000
F-10 Islamabad,7991,8,385376000
DHA Karachi,6871,8,340489000
Model Town Lahore,7742,9,258554000
North Nazimabad Karachi,7012,6,181888000
DHA Karachi,9389,9,398615000
Model Town Lahore,8472,10,315685000
DHA Lahore,4002,7,120921000
Johar Town Lahore,4565,6,113137000
